clip_id	audio_file	x1	x2
1	HLO13_20180524_061947_47.mp3	28.06	38.056
2	HLO13_20180527_071947_45.mp3	21.98	31.976
3	HLO11_20180616_030907_50.mp3	28.6	38.596
4	HLO09_20180610_152022_1.mp3	17.62	27.616
5	HLO11_20180514_224215_22.mp3	37.88	47.876
6	HLO12_20180613_105636_24.mp3	33.68	43.676
7	HLO08_20180526_061503_53.mp3	41.48	51.476
8	MRG18_20180527_070254_7.mp3	10.83	20.826
9	HLO08_20180521_201503_11.mp3	31.23	41.226
10	MRG23_20180621_031903_9.mp3	34.48	44.476
11	HLO05_20180513_171714_50.mp3	39.34	49.336
12	HLO10_20180520_045024_19.mp3	50.0	59.996
13	MRG02_20180615_192753_6.mp3	0.0	9.996
14	HLO02_20180526_055340_21.mp3	2.42	12.416
15	MRG10_20180519_000000_1113.mp3	5.96	15.956
16	HLO05_20180512_071714_29.mp3	3.32	13.316
17	HLO09_20180603_070645_2.mp3	22.37	32.366
18	HLO05_20180517_181714_34.mp3	49.33	59.326
19	MRG05_20180522_000000_665.mp3	10.68	20.676
20	HLO08_20180610_115158_24.mp3	4.02	14.016
21	MRG02_20180516_000000_699.mp3	45.39	55.386
22	HLO11_20180526_033723_49.mp3	10.24	20.236
23	HLO12_20180713_041715_28.mp3	50.0	59.996
24	HLO15_20180525_041230_22.mp3	7.5	17.496
25	MRG02_20180603_100419_3.mp3	20.08	30.076
26	HLO11_20180528_232422_43.mp3	15.62	25.616
27	HLO09_20180710_072533_56.mp3	45.36	55.356
28	MRG13_20180511_183830_111.mp3	36.98	46.976
29	MRG27_20180513_000000_814.mp3	34.92	44.916
30	HLO07_20180605_143538_13.mp3	14.14	24.136
31	MRG27_20180527_040325_2.mp3	0.97	10.966
32	HLO14_20180525_084833_16.mp3	31.31	41.306
33	HLO11_20180511_094215_31.mp3	12.25	22.246
34	HLO12_20180517_090153_28.mp3	16.66	26.656
35	MRG10_20180519_000000_391.mp3	33.82	43.816
36	MRG04_20180603_135642_8.mp3	40.86	50.856
37	HLO13_20180610_084248_44.mp3	9.44	19.436
38	HLO09_20180711_052543_52.mp3	50.0	59.996
39	MRG20_20180718_034808_4.mp3	41.95	51.946
40	HLO01_20180520_102303_55.mp3	50.0	59.996
41	MRG24_20180610_185144_3.mp3	10.8	20.796
42	HLO06_20180602_225354_19.mp3	15.88	25.876
43	HLO16_20180508_205653_7.mp3	18.98	28.976
44	HLO14_20180521_094833_52.mp3	50.0	59.996
45	MRG16_20180527_045020_10.mp3	14.44	24.436
46	HLO09_20180605_050655_32.mp3	44.29	54.286
47	HLO06_20180613_031046_17.mp3	50.0	59.996
48	HLO01_20180617_060331_8.mp3	2.18	12.176
49	HLO06_20180614_111206_17.mp3	0.0	9.996
50	HLO15_20180520_071230_3.mp3	34.93	44.926
51	MRG10_20180512_183830_277.mp3	10.28	20.276
52	HLO16_20180526_035552_15.mp3	0.0	9.996
53	HLO15_20180529_001230_51.mp3	21.2	31.196
54	HLO07_20180510_070556_56.mp3	20.88	30.876
55	HLO13_20180527_201947_48.mp3	2.49	12.486
56	HLO11_20180516_184215_49.mp3	4.11	14.106
57	MRG07_20180520_000000_435.mp3	8.56	18.556
58	MRG16_20180609_105859_6.mp3	27.69	37.686
59	MRG19_20180513_000000_443.mp3	9.22	19.216
60	MRG16_20180621_052440_2.mp3	21.82	31.816
61	MRG17_20180625_171515_9.mp3	24.4	34.396
62	HLO11_20180523_053723_49.mp3	50.0	59.996
63	HLO05_20180517_031714_43.mp3	3.78	13.776
64	MRG28_20180616_073804_4.mp3	10.46	20.456
65	HLO09_20180529_030226_31.mp3	0.0	9.996
66	MRG27_20180617_094536_7.mp3	1.21	11.206
67	HLO10_20180606_195521_44.mp3	28.5	38.496
68	HLO10_20180514_055815_1.mp3	33.65	43.646
69	HLO08_20180529_071503_2.mp3	0.0	9.996
70	MRG23_20180521_000000_572.mp3	0.0	9.996
71	HLO08_20180517_052110_38.mp3	39.87	49.866
72	HLO16_20180529_055552_23.mp3	27.65	37.646
73	MRG10_20180512_000000_672.mp3	43.74	53.736
74	HLO11_20180610_050857_36.mp3	36.22	46.216
75	MRG23_20180614_033242_3.mp3	2.08	12.076
76	MRG13_20180513_000000_470.mp3	33.22	43.216
77	HLO09_20180522_200226_17.mp3	14.37	24.366
78	HLO10_20180518_095815_23.mp3	36.09	46.086
80	HLO12_20180608_105636_38.mp3	16.94	26.936
81	HLO10_20180514_025815_43.mp3	45.72	55.716
82	HLO02_20180516_083933_19.mp3	50.0	59.996
83	MRG04_20180608_071242_8.mp3	0.0	9.996
84	HLO04_20180515_084424_39.mp3	21.96	31.956
85	HLO09_20180710_182638_38.mp3	34.06	44.056
86	HLO08_20180517_042110_28.mp3	22.5	32.496
87	MRG28_20180610_123804_9.mp3	46.93	56.926
88	HLO14_20180523_024834_17.mp3	0.44	10.436
89	HLO01_20180612_030346_45.mp3	18.38	28.376
90	HLO08_20180515_132110_2.mp3	36.18	46.176
91	HLO09_20180610_212152_37.mp3	11.67	21.666
92	HLO15_20180523_051230_8.mp3	0.0	9.996
93	HLO01_20180604_030151_1.mp3	8.59	18.586
94	MRG18_20180528_154254_7.mp3	38.49	48.486
95	HLO16_20180512_055653_11.mp3	50.0	59.996
96	HLO06_20180509_043141_15.mp3	34.02	44.016
97	MRG18_20180526_182254_2.mp3	6.25	16.246
98	HLO12_20180527_024732_56.mp3	0.3	10.296
99	MRG04_20180604_051642_3.mp3	43.09	53.086
100	HLO15_20180510_131439_23.mp3	6.1	16.096
101	HLO03_20180604_070941_51.mp3	0.0	9.996
102	HLO16_20180512_025653_13.mp3	26.5	36.496
103	MRG13_20180518_155028_475.mp3	14.66	24.656
104	HLO16_20180717_132325_49.mp3	44.48	54.476
105	HLO04_20180520_022718_58.mp3	23.14	33.136
106	MRG16_20180623_024440_7.mp3	47.15	57.146
107	MRG17_20180516_000000_359.mp3	40.14	50.136
108	HLO08_20180510_122110_50.mp3	10.08	20.076
109	HLO12_20180511_220153_22.mp3	13.19	23.186
110	HLO12_20180613_035711_5.mp3	41.92	51.916
111	HLO04_20180715_181020_46.mp3	50.0	59.996
112	MRG15_20180513_000000_231.mp3	48.24	58.236
113	MRG11_20180513_183830_148.mp3	12.52	22.516
114	MRG27_20180527_040325_2.mp3	43.52	53.516
115	MRG18_20180608_211319_7.mp3	43.36	53.356
116	HLO03_20180608_072935_36.mp3	48.25	58.246
117	HLO01_20180517_121304_6.mp3	4.32	14.316
118	MRG24_20180620_001852_3.mp3	50.0	59.996
119	MRG20_20180513_000000_529.mp3	0.0	9.996
120	HLO08_20180521_041503_10.mp3	47.84	57.836
121	HLO10_20180510_045815_58.mp3	0.0	9.996
122	MRG15_20180611_082502_8.mp3	27.62	37.616
123	HLO13_20180604_032830_34.mp3	3.26	13.256
124	MRG24_20180519_000000_354.mp3	14.34	24.336
125	HLO06_20180611_201121_58.mp3	35.76	45.756
126	HLO16_20180517_125653_40.mp3	50.0	59.996
