taxon_id	scientific_name	vernacular_name_en	vernacular_name_fi	taxon_rank	is_bird
MX.25836	Gavia stellata	Red-throated Loon	kaakkuri	species	True
MX.25837	Gavia arctica	Black-throated Loon	kuikka	species	True
MX.25839	Gavia immer	Common Loon	amerikanjääkuikka	species	True
MX.25840	Gavia adamsii	Yellow-billed Loon	jääkuikka	species	True
MX.25844	Tachybaptus ruficollis	Little Grebe	pikku-uikku	species	True
MX.25859	Podiceps grisegena	Red-necked Grebe	härkälintu	species	True
MX.25860	Podiceps cristatus	Great Crested Grebe	silkkiuikku	species	True
MX.25861	Podiceps auritus	Horned Grebe	mustakurkku-uikku	species	True
MX.25862	Podiceps nigricollis	Black-necked Grebe	mustakaulauikku	species	True
MX.25892	Fulmarus glacialis	Northern Fulmar	myrskylintu	species	True
MX.26027	Morus bassanus	Northern Gannet	suula	species	True
MX.26043	Phalacrocorax carbo	Great Cormorant	merimetso	species	True
MX.26051	Phalacrocorax aristotelis	European Shag	karimetso	species	True
MX.26094	Ardea cinerea	Grey Heron	harmaahaikara	species	True
MX.26103	Ardea purpurea	Purple Heron	ruskohaikara	species	True
MX.26105	Egretta alba	Great Egret	jalohaikara	species	True
MX.26115	Egretta garzetta	Little Egret	silkkihaikara	species	True
MX.26119	Bubulcus ibis	Cattle Egret	lehmähaikara	species	True
MX.26121	Ardeola ralloides	Squacco Heron	rääkkähaikara	species	True
MX.26133	Nycticorax nycticorax	Black-crowned Night Heron	yöhaikara	species	True
MX.26164	Botaurus stellaris	Eurasian Bittern	kaulushaikara	species	True
MX.26182	Ciconia nigra	Black Stork	mustahaikara	species	True
MX.26187	Ciconia ciconia	White Stork	kattohaikara	species	True
MX.26234	Plegadis falcinellus	Glossy Ibis	pronssi-iibis	species	True
MX.26240	Platalea leucorodia	Eurasian Spoonbill	kapustahaikara	species	True
MX.26257	Anseriformes	Waterfowl	sorsalinnut	order	True
MX.26277	Cygnus olor	Mute Swan	kyhmyjoutsen	species	True
MX.26280	Cygnus cygnus	Whooper Swan	laulujoutsen	species	True
MX.26282	Cygnus columbianus	Tundra Swan	pikkujoutsen	species	True
MX.26287	Anser fabalis	Bean Goose	metsähanhi	species	True
MX.26288	Anser brachyrhynchus	Pink-footed Goose	lyhytnokkahanhi	species	True
MX.26289	Anser albifrons	Greater White-fronted Goose	tundrahanhi	species	True
MX.26290	Anser erythropus	Lesser White-fronted Goose	kiljuhanhi	species	True
MX.26291	Anser anser	Greylag Goose	merihanhi	species	True
MX.26292	Anser indicus	Bar-headed Goose	tiibetinhanhi	species	True
MX.26293	Anser caerulescens	Snow Goose	lumihanhi	species	True
MX.26296	Branta		kirjohanhet	genus	True
MX.26298	Branta canadensis	Canada Goose	kanadanhanhi	species	True
MX.26299	Branta leucopsis	Barnacle Goose	valkoposkihanhi	species	True
MX.26300	Branta bernicla	Brant	sepelhanhi	species	True
MX.26301	Branta ruficollis	Red-breasted Goose	punakaulahanhi	species	True
MX.26319	Tadorna ferruginea	Ruddy Shelduck	ruostesorsa	species	True
MX.26323	Tadorna tadorna	Common Shelduck	ristisorsa	species	True
MX.26348	Aix galericulata	Mandarin Duck	mandariinisorsa	species	True
MX.26360	Anas penelope	Eurasian Wigeon	haapana	species	True
MX.26364	Anas strepera	Gadwall	harmaasorsa	species	True
MX.26366	Anas crecca	Eurasian Teal	tavi	species	True
